Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs),Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
Belgium,USA,"WASHINGTON, DC",1,1,1,,,191066,191608,3350,84.7%,1,35,4.1%,860,735,35,4.1%
Belgium,VIETNAM,HANOI,,,,,,192399,192946,3369,56.1%,17,190,9.5%,"2,006","1,772",190,9.5%
Czech Republic,AFGHANISTAN,KABUL,,,,,,193732,194284,3388,40.6%,41,1,0.9%,108,105,1,0.9%
Czech Republic,ALBANIA,TIRANA,,,,,,195065,195621,3407,45.5%,1,4,25.0%,16,12,4,25.0%
Czech Republic,ALGERIA,ALGIERS,,,,,,196397,196959,3426,31.3%,,458,46.0%,996,537,458,46.0%
Czech Republic,ARGENTINA,BUENOS AIRES,,,,,,197730,198297,3445,100.0%,,,,2,2,,
Czech Republic,ARMENIA,YEREVAN,,,,,,199063,199635,3464,22.8%,1,531,16.8%,"3,167","2,636",531,16.8%
Czech Republic,AUSTRALIA,SYDNEY,,,,,,200396,200973,3483,36.6%,2,1,0.2%,407,406,1,0.2%
Czech Republic,AUSTRIA,VIENNA,,,,,,201729,202311,3502,75.0%,4,,,12,12,,
Czech Republic,AZERBAIJAN,BAKU,,,,,,203062,203648,3521,12.0%,,245,5.0%,"4,949","4,695",245,5.0%
Czech Republic,BELARUS,MINSK,,,,,,204394,204986,3540,52.1%,,5,0.0%,"12,749","12,744",5,0.0%
Czech Republic,BELGIUM,BRUSSELS,,,,,,205727,206324,3559,50.0%,,,,2,2,,
Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,207060,207662,3578,28.8%,1,,,105,105,,
Czech Republic,BRAZIL,BRASILIA,,,,,,208393,209000,3597,,,,,4,4,,
Czech Republic,BRAZIL,SAO PAULO,,,,,,209726,210338,3616,10.5%,,2,9.5%,21,19,2,9.5%
Czech Republic,BULGARIA,SOFIA,,,,,,211059,211676,3635,46.7%,,9,6.3%,144,135,9,6.3%
Czech Republic,CANADA,OTTAWA,,,,,,212391,213013,3654,25.0%,,,,92,92,,
Czech Republic,CANADA,TORONTO,,,,,,213724,214351,3673,13.3%,,1,0.3%,392,391,1,0.3%
Czech Republic,CHILE,SANTIAGO DE CHILE,,,,,,215057,215689,3692,16.7%,,,,6,6,,
Czech Republic,CHINA,BEIJING,,,,,,216390,217027,3711,9.3%,,2099,3.1%,"67,33","65,229","2,099",3.1%
Czech Republic,CHINA,CHENGDU,,,,,,217723,218365,3730,7.4%,1,326,1.7%,"19,268","18,942",326,1.7%
Czech Republic,CHINA,SHANGHAI,,,,,,219056,219703,3749,7.1%,6,913,2.6%,"35,634","34,721",913,2.6%
Czech Republic,COLOMBIA,BOGOTA,,,,,,220388,221040,3768,60.0%,,,,5,5,,
Czech Republic,CROATIA,ZAGREB,,,,,,221721,222378,3787,58.7%,,1,1.6%,64,63,1,1.6%
Czech Republic,CUBA,HAVANA,,,,,,223054,223716,3806,11.3%,,79,19.0%,415,336,79,19.0%
Czech Republic,EGYPT,CAIRO,,,,,,224387,225054,3825,21.5%,3,693,25.5%,"2,713","2,018",693,25.5%
Czech Republic,ETHIOPIA,ADDIS ABEBA,,,,,,225720,226392,3844,16.7%,1,103,43.6%,236,133,103,43.6%
Czech Republic,GEORGIA,TBILISSI,,,,,,227052,227730,3864,9.4%,1,60,21.9%,274,214,60,21.9%
Czech Republic,GERMANY,BERLIN,,,,,,228385,229068,3883,100.0%,9,,,11,11,,
Czech Republic,GHANA,ACCRA,,,,,,229718,230405,3902,19.6%,6,396,51.8%,764,368,396,51.8%
Czech Republic,GREECE,ATHENS,,,,,,231051,231743,3921,,1,,,1,1,,
Czech Republic,HONG KONG S.A.R.,HONG KONG,,,,,,232384,233081,3940,14.0%,,2,0.4%,473,471,2,0.4%
Czech Republic,INDIA,NEW DELHI,,,,,,233717,234419,3959,10.0%,,6219,23.3%,"26,683","20,449","6,219",23.3%
Czech Republic,INDONESIA,JAKARTA,,,,,,235049,235757,3978,18.7%,,7,0.4%,"1,628","1,619",7,0.4%
Czech Republic,IRAN,TEHERAN,,,,,,236382,237095,3997,13.4%,17,2264,53.4%,"4,237","1,971","2,264",53.4%
Czech Republic,IRAQ,BAGHDAD,,,,,,237715,238432,4016,36.0%,33,16,4.0%,398,380,16,4.0%
Czech Republic,IRAQ,ERBIL,,,,,,239048,239770,4035,28.2%,,60,41.4%,145,85,60,41.4%
Czech Republic,IRELAND,DUBLIN,,,,,,240381,241108,4054,27.5%,,1,0.3%,346,345,1,0.3%
Czech Republic,ISRAEL,TEL AVIV,,,,,,241714,242446,4073,19.0%,,29,4.2%,691,662,29,4.2%
Czech Republic,JAPAN,TOKYO,,,,,,243046,243784,4092,9.0%,,,,345,345,,
Czech Republic,JORDAN,AMMAN,,,,,,244379,245122,4111,20.7%,3,346,18.7%,"1,85","1,498",346,18.7%
Czech Republic,KAZAKHSTAN,ASTANA,,,,,,245712,246460,4130,13.3%,1,352,2.1%,"16,925","16,555",352,2.1%
Czech Republic,KENYA,NAIROBI,,,,,,247045,247797,4149,27.7%,,41,11.5%,355,314,41,11.5%
Czech Republic,KUWAIT,KUWAIT,,,,,,248378,249135,4168,87.4%,1,120,2.5%,"4,821","4,7",120,2.5%
Czech Republic,LEBANON,BEIRUT,,,,,,249711,250473,4187,30.0%,40,687,12.4%,"5,542","4,854",687,12.4%
Czech Republic,MALAYSIA,KUALA LUMPUR,,,,,,251043,251811,4206,18.4%,1,189,43.4%,435,245,189,43.4%
Czech Republic,MEXICO,MEXICO CITY,,,,,,252376,253149,4225,7.3%,,2,2.3%,87,82,2,2.3%
Czech Republic,MOLDOVA,CHISINAU,,,,,,253709,254487,4244,1.8%,1,12,0.7%,"1,629","1,617",12,0.7%
Czech Republic,MONGOLIA,ULAN BATOR,,,,,,255042,255824,4263,10.0%,,454,16.5%,"2,755","2,301",454,16.5%
Czech Republic,MOROCCO,RABAT,,,,,,256375,257162,4282,36.9%,,205,32.6%,628,423,205,32.6%
Czech Republic,NIGERIA,ABUJA,,,,,,257708,258500,4301,38.7%,8,210,37.8%,556,344,210,37.8%
Czech Republic,NORTH KOREA,PYONGYANG,,,,,,259040,259838,4320,,,,,6,6,,
Czech Republic,NORTH MACEDONIA,SKOPJE,,,,,,260373,261176,4339,71.4%,1073,193,14.1%,"1,371","1,178",193,14.1%
Czech Republic,PAKISTAN,ISLAMABAD,,,,,,261706,262514,4358,10.9%,3,407,61.9%,658,251,407,61.9%
Czech Republic,PERU,LIMA,,,,,,263039,263852,4377,13.6%,,7,9.6%,73,66,7,9.6%
Czech Republic,PHILIPPINES,MANILA,,,,,,264372,265189,4396,17.1%,,333,12.5%,"2,663","2,33",333,12.5%
Czech Republic,POLAND,WARSAW,,,,,,265705,266527,4415,42.9%,,,,7,7,,
Czech Republic,ROMANIA,BUCHAREST,,,,,,267037,267865,4434,6.9%,,25,7.0%,359,334,25,7.0%
Czech Republic,RUSSIAN FEDERATION,MOSCOW,,,,,,268370,269203,4453,47.2%,3,2386,1.1%,"209,75","207,363","2,386",1.1%
Czech Republic,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,269703,270541,4472,48.5%,,27,0.3%,"10,09","10,063",27,0.3%
Czech Republic,RUSSIAN FEDERATION,YEKATERINBURG,,,,,,271036,271879,4491,34.5%,,78,0.3%,"24,553","24,474",78,0.3%
Czech Republic,SAUDI ARABIA,RIYADH,,,,,,272369,273216,4510,88.0%,67,586,4.2%,"13,901","13,315",586,4.2%
Czech Republic,SENEGAL,DAKAR,,,,,,273701,274554,4530,9.1%,,77,53.1%,145,66,77,53.1%
Czech Republic,SERBIA,BELGRADE,,,,,,275034,275892,4549,93.0%,1,11,0.5%,"2,099","2,088",11,0.5%
Czech Republic,SLOVAKIA,BRATISLAVA,,,,,,276367,277230,4568,45.2%,,,,31,31,,
Czech Republic,SOUTH AFRICA,PRETORIA,,,,,,277700,278568,4587,74.4%,1,78,1.9%,"4,102","4,024",78,1.9%
Czech Republic,SOUTH KOREA,SEOUL,,,,,,279033,279906,4606,3.9%,1,3,2.3%,131,128,3,2.3%
